gutenberg_id,title,author,gutenberg_author_id,language,gutenberg_bookshelf,rights,has_text
1,The Declaration of Independence of the United States of America,"Jefferson, Thomas",1638,en,"Politics/American Revolutionary War/United States Law/Category: Essays, Letters & Speeches/Category: History - American/Category: History - Modern (1750+)/Category: Philosophy & Ethics/Category: Politics",Public domain in the USA.,TRUE
11,Alice's Adventures in Wonderland,"Carroll, Lewis",7,en,Children's Literature/Category: Children & Young Adult Reading/Category: Novels/Category: Classics of Literature/Category: British Literature,Public domain in the USA.,TRUE
11,Alice's Adventures in Wonderland,"Carroll, Lewis",7,en,Children's Literature,Public domain in the USA.,TRUE
12,Through the Looking-Glass,"Carroll, Lewis",7,en,Children's Literature/Best Books Ever Listings/Category: Children & Young Adult Reading/Category: Novels/Category: British Literature,Public domain in the USA.,TRUE
16,Peter Pan : $b [Peter and Wendy],"Barrie, J. M. (James Matthew)",10,en,Children's Literature/Movie Books/Category: Children & Young Adult Reading/Category: Adventure/Category: Novels/Category: Classics of Literature/Category: British Literature,Public domain in the USA.,TRUE
19,The Song of Hiawatha,"Longfellow, Henry Wadsworth",16,en,"Children's Literature/Poetry/Native America/Category: Poetry/Category: Mythology, Legends & Folklore/Category: American Literature",Public domain in the USA.,TRUE
35,The Time Machine,"Wells, H. G. (Herbert George)",30,en,Science Fiction/Movie Books/Category: Science-Fiction & Fantasy/Category: Novels/Category: British Literature,Public domain in the USA.,TRUE
36,The war of the worlds,"Wells, H. G. (Herbert George)",30,en,Science Fiction/Movie Books/Category: Science-Fiction & Fantasy/Category: Novels/Category: Classics of Literature/Category: British Literature,Public domain in the USA.,TRUE
42,The strange case of Dr. Jekyll and Mr. Hyde,"Stevenson, Robert Louis",35,en,"Precursors of Science Fiction/Horror/Gothic Fiction/Movie Books/Category: Crime, Thrillers and Mystery/Category: Novels/Category: Classics of Literature/Category: British Literature",Public domain in the USA.,TRUE
46,A Christmas Carol in Prose; Being a Ghost Story of Christmas,"Dickens, Charles",37,en,Children's Literature/Christmas/Category: Novels/Category: Classics of Literature/Category: British Literature,Public domain in the USA.,TRUE
47,Anne of Avonlea,"Montgomery, L. M. (Lucy Maud)",36,en,Canada/Children's Literature/Category: Children & Young Adult Reading/Category: Novels/Category: British Literature,Public domain in the USA.,TRUE
51,Anne of the Island,"Montgomery, L. M. (Lucy Maud)",36,en,Canada/Children's Literature/Category: Children & Young Adult Reading/Category: Novels,Public domain in the USA.,TRUE
54,The Marvelous Land of Oz,"Baum, L. Frank (Lyman Frank)",42,en,Children's Literature/Fantasy/Category: Children & Young Adult Reading/Category: Science-Fiction & Fantasy/Category: Novels/Category: American Literature,Public domain in the USA.,TRUE
55,The Wonderful Wizard of Oz,"Baum, L. Frank (Lyman Frank)",42,en,Children's Literature/Fantasy/Category: Children & Young Adult Reading/Category: Science-Fiction & Fantasy/Category: Adventure/Category: American Literature,Public domain in the USA.,TRUE
62,A princess of Mars,"Burroughs, Edgar Rice",48,en,Science Fiction/Best Books Ever Listings/Category: Science-Fiction & Fantasy/Category: Adventure,Public domain in the USA.,TRUE
63,"The Number ""e""",Unknown,49,en,Historical Fiction/Category: Mathematics,Public domain in the USA.,TRUE
64,The gods of Mars,"Burroughs, Edgar Rice",48,en,Science Fiction/Category: Science-Fiction & Fantasy/Category: Adventure/Category: Novels/Category: American Literature,Public domain in the USA.,TRUE
68,The warlord of Mars,"Burroughs, Edgar Rice",48,en,Science Fiction/Category: Science-Fiction & Fantasy/Category: Adventure,Public domain in the USA.,TRUE
72,"Thuvia, maid of Mars","Burroughs, Edgar Rice",48,en,Science Fiction/Category: Science-Fiction & Fantasy/Category: Romance/Category: Adventure/Category: American Literature,Public domain in the USA.,TRUE
73,The Red Badge of Courage: An Episode of the American Civil War,"Crane, Stephen",55,en,"US Civil War/Historical Fiction/Best Books Ever Listings/Bestsellers, American, 1895-1923/Category: Novels/Category: Classics of Literature/Category: American Literature/Category: History - American/Category: History - Warfare",Public domain in the USA.,TRUE
82,Ivanhoe: A Romance,"Scott, Walter",59,en,Historical Fiction/Best Books Ever Listings/Category: Historical Novels/Category: Novels/Category: British Literature,Public domain in the USA.,TRUE
83,"From the Earth to the moon; and, round the moon","Verne, Jules",60,en,Science Fiction/Movie Books/Category: Science-Fiction & Fantasy/Category: Novels/Category: Classics of Literature/Category: French Literature,Public domain in the USA.,TRUE
84,"Frankenstein; or, the modern prometheus","Shelley, Mary Wollstonecraft",61,en,Precursors of Science Fiction/Gothic Fiction/Movie Books/Science Fiction by Women/Category: Science-Fiction & Fantasy/Category: Novels/Category: Classics of Literature/Category: British Literature,Public domain in the USA.,TRUE
86,A Connecticut Yankee in King Arthur's Court,"Twain, Mark",53,en,Precursors of Science Fiction/Arthurian Legends/Category: Science-Fiction & Fantasy/Category: Humour/Category: Novels/Category: Classics of Literature/Category: American Literature,Public domain in the USA.,TRUE
97,Flatland: A Romance of Many Dimensions,"Abbott, Edwin Abbott",64,en,Mathematics/Science Fiction/Category: Science-Fiction & Fantasy/Category: Novels/Category: British Literature,Public domain in the USA.,TRUE
98,A Tale of Two Cities,"Dickens, Charles",37,en,Historical Fiction/Category: Historical Novels/Category: Classics of Literature/Category: British Literature,Public domain in the USA.,TRUE
108,The Return of Sherlock Holmes,"Doyle, Arthur Conan",69,en,"Detective Fiction/Category: Short Stories/Category: Crime, Thrillers and Mystery/Category: British Literature",Public domain in the USA.,TRUE
113,The Secret Garden,"Burnett, Frances Hodgson",73,en,Children's Literature/Category: Children & Young Adult Reading/Category: Novels/Category: Classics of Literature/Category: British Literature,Public domain in the USA.,TRUE
120,Treasure Island,"Stevenson, Robert Louis",35,en,"Children's Literature/Historical Fiction/Best Books Ever Listings/Pirates, Buccaneers, Corsairs, etc./Category: Adventure/Category: Novels/Category: Classics of Literature/Category: British Literature",Public domain in the USA.,TRUE
121,Northanger Abbey,"Austen, Jane",68,en,Gothic Fiction/Category: Novels/Category: Classics of Literature/Category: British Literature,Public domain in the USA.,TRUE
126,The Poison Belt,"Doyle, Arthur Conan",69,en,Science Fiction/Category: Science-Fiction & Fantasy/Category: Novels/Category: British Literature,Public domain in the USA.,TRUE
139,The Lost World,"Doyle, Arthur Conan",69,en,Science Fiction/Category: Science-Fiction & Fantasy/Category: Adventure/Category: Novels/Category: British Literature,Public domain in the USA.,TRUE
145,Middlemarch,"Eliot, George",90,en,Historical Fiction/Best Books Ever Listings/Category: Novels/Category: Classics of Literature/Category: British Literature,Public domain in the USA.,TRUE
146,"A Little Princess
Being the whole story of Sara Crewe now told for the first time","Burnett, Frances Hodgson",73,en,Children's Literature/School Stories/Category: Children & Young Adult Reading/Category: Novels/Category: British Literature,Public domain in the USA.,TRUE
155,The Moonstone,"Collins, Wilkie",98,en,"Detective Fiction/Mystery Fiction/Category: Crime, Thrillers and Mystery/Category: Novels/Category: British Literature",Public domain in the USA.,TRUE
159,The island of Doctor Moreau,"Wells, H. G. (Herbert George)",30,en,Science Fiction/Best Books Ever Listings/Movie Books/Category: Science-Fiction & Fantasy/Category: Novels/Category: British Literature,Public domain in the USA.,TRUE
164,Twenty Thousand Leagues under the Sea,"Verne, Jules",60,en,Science Fiction/Category: Science-Fiction & Fantasy/Category: Adventure/Category: Classics of Literature/Category: French Literature,Public domain in the USA.,TRUE
173,The Insidious Dr. Fu Manchu,"Rohmer, Sax",110,en,"Crime Fiction/Category: Crime, Thrillers and Mystery/Category: Novels/Category: British Literature",Public domain in the USA.,TRUE
174,The Picture of Dorian Gray,"Wilde, Oscar",111,en,Gothic Fiction/Movie Books/Category: Novels/Category: Classics of Literature/Category: British Literature,Public domain in the USA.,TRUE
175,The Phantom of the Opera,"Leroux, Gaston",112,en,"Opera/Gothic Fiction/Movie Books/Category: Crime, Thrillers and Mystery/Category: Novels/Category: French Literature",Public domain in the USA.,TRUE
201,Flatland: A Romance of Many Dimensions,"Abbott, Edwin Abbott",64,en,Mathematics/Science Fiction/Category: Science-Fiction & Fantasy/Category: Novels/Category: British Literature,Public domain in the USA.,TRUE
204,The innocence of Father Brown,"Chesterton, G. K. (Gilbert Keith)",80,en,"Detective Fiction/Category: Short Stories/Category: Crime, Thrillers and Mystery/Category: British Literature",Public domain in the USA.,TRUE
209,The Turn of the Screw,"James, Henry",113,en,"Opera/Best Books Ever Listings/Horror/Gothic Fiction/Category: Crime, Thrillers and Mystery/Category: Novels/Category: British Literature",Public domain in the USA.,TRUE
223,The wisdom of Father Brown,"Chesterton, G. K. (Gilbert Keith)",80,en,"Detective Fiction/Category: Short Stories/Category: Crime, Thrillers and Mystery/Category: British Literature",Public domain in the USA.,TRUE
225,At the Back of the North Wind,"MacDonald, George",127,en,Children's Literature/Category: Children & Young Adult Reading/Category: Science-Fiction & Fantasy/Category: Novels/Category: British Literature,Public domain in the USA.,TRUE
236,The Jungle Book,"Kipling, Rudyard",132,en,Scouts/Children's Literature/Movie Books/Contemporary Reviews/Category: Short Stories/Category: Children & Young Adult Reading/Category: Adventure/Category: British Literature/Nobel Prizes in Literature,Public domain in the USA.,TRUE
244,A Study in Scarlet,"Doyle, Arthur Conan",69,en,"Detective Fiction/Category: Crime, Thrillers and Mystery/Category: Novels/Category: British Literature",Public domain in the USA.,TRUE
271,Black Beauty : $b The autobiography of a horse,"Sewell, Anna",154,en,Children's Literature/Best Books Ever Listings/Category: Children & Young Adult Reading/Category: Novels/Category: Classics of Literature/Category: British Literature,Public domain in the USA.,TRUE
285,The Lost Continent,"Hyne, Charles John Cutcliffe Wright",4423,en,Science Fiction/Category: Science-Fiction & Fantasy/Category: Adventure/Category: Novels,Public domain in the USA.,TRUE
289,The Wind in the Willows,"Grahame, Kenneth",153,en,Children's Literature/Best Books Ever Listings/Category: Children & Young Adult Reading/Category: Novels/Category: British Literature,Public domain in the USA.,TRUE
